"pair_id","treatment","reference","family","effect_definition","site_scope","output_vars","target_cell","target_subclass","structural_flags"
"cover_soc","cover_annual","cover_none","cover","ddSOC per prepared cover year (end-of-window arm difference, identical pre-simulation states)","66 cover-prepared sites","TotSoilCarb","+Cover Crops x Soil C","",""
"minN_zero","mineral_N_zero","fertilizer_reference","mineral N","dd outputs at 0x reference mineral N","all 100","TotSoilCarb;N2O_flux","","","no fertilization contrast target exists (21 evidence rows but none is a fert contrast); EF rows are post-hoc reference only"
"minN_half","mineral_N_half","fertilizer_reference","mineral N","dd outputs at 0.5x reference mineral N","all 100","TotSoilCarb;N2O_flux","","","same"
"minN_onehalf","mineral_N_one_half","fertilizer_reference","mineral N","dd outputs at 1.5x reference mineral N","all 100","TotSoilCarb;N2O_flux","","","same"
"org_sub","organic_substitution","fertilizer_reference","organic amendment","ln(SOC amended / SOC unamended) at end of window, per the cell operator","all 100","TotSoilCarb;N2O_flux","+Non-crop C x Soil C","","target is Mediterranean olive-orchard amendment (partial comparability); arm inherits the amendment-partition overshoot (sipnet 396)"
"till_reduced_soc","tillage_reduced","tillage_reference","tillage","ddSOC per year at 0.1 intensity vs 0.35","all 100","TotSoilCarb","Reduced tillage x Soil C","",""
"till_zero_soc","tillage_zero","tillage_reference","tillage","ddSOC per year at 0 intensity vs 0.35","all 100","TotSoilCarb","Reduced tillage x Soil C","",""
"till_zero_n2o","tillage_zero","tillage_reference","tillage","LRR of cumulative N2O over first ~5 years","all 100","N2O_flux","Reduced tillage x N2O","","sipnet tillage is an Rh multiplier only; no compaction/pore-space mechanism; representative run showed near-zero response vs target +0.322; absolute N2O magnitude at modesto was high in representative runs (diagnostic only, assessed from the full matrix)"
"till_ch4","tillage_zero","tillage_reference","tillage","CH4 flux difference","all 100","CH4","Reduced tillage x CH4","","OUT OF SCOPE, NOT UNSTAGED: the zero tillage arm exists and is the same arm scoring the tillage soil carbon and N2O cells. tillage has no direct term in the CH4 equation (rate x soilC x temp x moisture) but does move soilC through heterotrophic respiration, so CH4 responds at the 12 rice-soil sites where it is non-zero. not scored because sipnet CH4 is production only and cannot represent the uptake enhancement the target reports, the target is an absolute flux in kg CH4 ha-1 yr-1 with no observation operator recorded, and CH4 was scoped to rice systems"
"rice_one_n2o","rice_one_dry","rice_irrigated_reference","rice water","LRR of N2O in rice years (one 14-day drying)","12 rice sites","N2O_flux","Flooding / rice x N2O","","representative-run N2O magnitude diagnostic applies (assessed from the full matrix)"
"rice_two_n2o","rice_two_dry","rice_irrigated_reference","rice water","LRR of N2O in rice years (two drying windows)","12 rice sites","N2O_flux","Flooding / rice x N2O","","same"
"rice_one_ch4","rice_one_dry","rice_irrigated_reference","rice water","LRR of CH4 in rice years","12 rice sites","CH4","Flooding / rice x CH4","1 drying event","requires soil_rice methane medians (staged); anaerobic_trans_exp at the common soil value 99.98 per config (no rice split); A is clipped at saturation so the exponent cannot rescue the contrast"
"rice_two_ch4","rice_two_dry","rice_irrigated_reference","rice water","LRR of CH4 in rice years","12 rice sites","CH4","Flooding / rice x CH4","2 drying events","same; target row is the Jiang single drying-event class (source_id dry1), but this arm has two drying events -- the two-event class is -0.6255 se 0.170 and the target table is keyed practice x outcome so it cannot carry both"
"perennial_soc","","","annual to perennial","","none","","Annual -> Perennial x Soil C","","NO RUNNABLE PAIR: package has no perennial-conversion arm (standing woody plus understory needs two vegetation populations); preserved as unreachable"
